,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Againts (GA),+/-
430,Vancouver Canucks,2016,49,26,7.0,0.598,222,201,21
431,Washington Capitals,2016,28,40,14.0,0.341,235,286,-51
432,Anaheim Ducks,2017,47,27,8.0,0.573,205,191,14
433,Atlanta Thrashers,2017,34,40,8.0,0.415,216,272,-56
434,Boston Bruins,2017,41,29,12.0,0.5,212,222,-10
435,Buffalo Sabres,2017,39,31,12.0,0.476,255,242,13
436,Calgary Flames,2017,42,30,10.0,0.512,229,227,2
437,Carolina Hurricanes,2017,43,33,6.0,0.524,252,249,3
438,Columbus Blue Jackets,2017,34,36,12.0,0.415,193,218,-25
439,Chicago Blackhawks,2017,40,34,8.0,0.488,239,235,4
440,Colorado Avalanche,2017,44,31,7.0,0.537,231,219,12
441,Dallas Stars,2017,45,30,7.0,0.549,242,207,35
442,Detroit Red Wings,2017,54,21,7.0,0.659,257,184,73
443,Edmonton Oilers,2017,41,35,6.0,0.5,235,251,-16
444,Florida Panthers,2017,38,35,9.0,0.463,216,226,-10
445,Los Angeles Kings,2017,32,43,7.0,0.39,231,266,-35
446,Minnesota Wild,2017,44,28,10.0,0.537,223,218,5
447,Montreal Canadiens,2017,47,25,10.0,0.573,262,222,40
448,Nashville Predators,2017,41,32,9.0,0.5,230,229,1
449,New Jersey Devils,2017,46,29,7.0,0.561,206,197,9
450,New York Islanders,2017,35,38,9.0,0.427,194,243,-49
451,New York Rangers,2017,42,27,13.0,0.512,213,199,14
452,Ottawa Senators,2017,43,31,8.0,0.524,261,247,14
453,Philadelphia Flyers,2017,42,29,11.0,0.512,248,233,15
454,Phoenix Coyotes,2017,38,37,7.0,0.463,214,231,-17
455,Pittsburgh Penguins,2017,47,27,8.0,0.573,247,216,31
456,San Jose Sharks,2017,49,23,10.0,0.598,222,193,29
457,St. Louis Blues,2017,33,36,13.0,0.402,205,237,-32
458,Tampa Bay Lightning,2017,31,42,9.0,0.378,223,267,-44
459,Toronto Maple Leafs,2017,36,35,11.0,0.439,231,260,-29
460,Vancouver Canucks,2017,39,33,10.0,0.476,213,215,-2
461,Washington Capitals,2017,43,31,8.0,0.524,242,231,11
462,Anaheim Ducks,2018,42,33,7.0,0.512,245,238,7
463,Atlanta Thrashers,2018,35,41,6.0,0.427,257,280,-23
464,Boston Bruins,2018,53,19,10.0,0.646,274,196,78
465,Buffalo Sabres,2018,41,32,9.0,0.5,250,234,16
466,Calgary Flames,2018,46,30,6.0,0.561,254,248,6
467,Carolina Hurricanes,2018,45,30,7.0,0.549,239,226,13
468,Columbus Blue Jackets,2018,41,31,10.0,0.5,226,230,-4
469,Chicago Blackhawks,2018,46,24,12.0,0.561,264,216,48
470,Colorado Avalanche,2018,32,45,5.0,0.39,199,257,-58
471,Dallas Stars,2018,36,35,11.0,0.439,230,257,-27
472,Detroit Red Wings,2018,51,21,10.0,0.622,295,244,51
473,Edmonton Oilers,2018,38,35,9.0,0.463,234,248,-14
474,Florida Panthers,2018,41,30,11.0,0.5,234,231,3
475,Los Angeles Kings,2018,34,37,11.0,0.415,207,234,-27
476,Minnesota Wild,2018,40,33,9.0,0.488,219,200,19
477,Montreal Canadiens,2018,41,30,11.0,0.5,249,247,2
478,Nashville Predators,2018,40,34,8.0,0.488,213,233,-20
479,New Jersey Devils,2018,51,27,4.0,0.622,244,209,35
480,New York Islanders,2018,26,47,9.0,0.317,201,279,-78
481,New York Rangers,2018,43,30,9.0,0.524,210,218,-8
482,Ottawa Senators,2018,36,35,11.0,0.439,217,237,-20
483,Philadelphia Flyers,2018,44,27,11.0,0.537,264,238,26
484,Phoenix Coyotes,2018,36,39,7.0,0.439,208,252,-44
485,Pittsburgh Penguins,2018,45,28,9.0,0.549,264,239,25
486,San Jose Sharks,2018,53,18,11.0,0.646,257,204,53
487,St. Louis Blues,2018,41,31,10.0,0.5,233,233,0
488,Tampa Bay Lightning,2018,24,40,18.0,0.293,210,279,-69
489,Toronto Maple Leafs,2018,34,35,13.0,0.415,250,293,-43
490,Vancouver Canucks,2018,45,27,10.0,0.549,246,220,26
491,Washington Capitals,2018,50,24,8.0,0.61,272,245,27
492,Anaheim Ducks,2019,39,32,11.0,0.476,238,251,-13
493,Atlanta Thrashers,2019,35,34,13.0,0.427,234,256,-22
494,Boston Bruins,2019,39,30,13.0,0.476,206,200,6
495,Buffalo Sabres,2019,45,27,10.0,0.549,235,207,28
496,Calgary Flames,2019,40,32,10.0,0.488,204,210,-6
497,Carolina Hurricanes,2019,35,37,10.0,0.427,230,256,-26
498,Columbus Blue Jackets,2019,32,35,15.0,0.39,216,259,-43
499,Chicago Blackhawks,2019,52,22,8.0,0.634,271,209,62
500,Colorado Avalanche,2019,43,30,9.0,0.524,244,233,11
501,Dallas Stars,2019,37,31,14.0,0.451,237,254,-17
502,Detroit Red Wings,2019,44,24,14.0,0.537,229,216,13
503,Edmonton Oilers,2019,27,47,8.0,0.329,214,284,-70
504,Florida Panthers,2019,32,37,13.0,0.39,208,244,-36
505,Los Angeles Kings,2019,46,27,9.0,0.561,241,219,22
506,Minnesota Wild,2019,38,36,8.0,0.463,219,246,-27
507,Montreal Canadiens,2019,39,33,10.0,0.476,217,223,-6
508,Nashville Predators,2019,47,29,6.0,0.573,225,225,0
509,New Jersey Devils,2019,48,27,7.0,0.585,222,191,31
510,New York Islanders,2019,34,37,11.0,0.415,222,264,-42
511,New York Rangers,2019,38,33,11.0,0.463,222,218,4
512,Ottawa Senators,2019,44,32,6.0,0.537,225,238,-13
513,Philadelphia Flyers,2019,41,35,6.0,0.5,236,225,11
514,Phoenix Coyotes,2019,50,25,7.0,0.61,225,202,23
515,Pittsburgh Penguins,2019,47,28,7.0,0.573,257,237,20
516,San Jose Sharks,2019,51,20,11.0,0.622,264,215,49
517,St. Louis Blues,2019,40,32,10.0,0.488,225,223,2
518,Tampa Bay Lightning,2019,34,36,12.0,0.415,217,260,-43
519,Toronto Maple Leafs,2019,30,38,14.0,0.366,214,267,-53
520,Vancouver Canucks,2019,49,28,5.0,0.598,272,222,50
521,Washington Capitals,2019,54,15,13.0,0.659,318,233,85
522,Anaheim Ducks,2020,47,30,5.0,0.573,239,235,4
523,Atlanta Thrashers,2020,34,36,12.0,0.415,223,269,-46
524,Boston Bruins,2020,46,25,11.0,0.561,246,195,51
525,Buffalo Sabres,2020,43,29,10.0,0.524,245,229,16
526,Calgary Flames,2020,41,29,12.0,0.5,250,237,13
527,Carolina Hurricanes,2020,40,31,11.0,0.488,236,239,-3
528,Columbus Blue Jackets,2020,34,35,13.0,0.415,215,258,-43
529,Chicago Blackhawks,2020,44,29,9.0,0.537,258,225,33
530,Colorado Avalanche,2020,30,44,8.0,0.366,227,288,-61
531,Dallas Stars,2020,42,29,11.0,0.512,227,233,-6
532,Detroit Red Wings,2020,47,25,10.0,0.573,261,241,20
533,Edmonton Oilers,2020,25,45,12.0,0.305,193,269,-76
534,Florida Panthers,2020,30,40,12.0,0.366,195,229,-34
535,Los Angeles Kings,2020,46,30,6.0,0.561,219,198,21
536,Minnesota Wild,2020,39,35,8.0,0.476,206,233,-27
537,Montreal Canadiens,2020,44,30,8.0,0.537,216,209,7
538,Nashville Predators,2020,44,27,11.0,0.537,219,194,25
539,New Jersey Devils,2020,38,39,5.0,0.463,174,209,-35
540,New York Islanders,2020,30,39,13.0,0.366,229,264,-35
541,New York Rangers,2020,44,33,5.0,0.537,233,198,35
542,Ottawa Senators,2020,32,40,10.0,0.39,192,250,-58
543,Philadelphia Flyers,2020,47,23,12.0,0.573,259,223,36
544,Phoenix Coyotes,2020,43,26,13.0,0.524,231,226,5
545,Pittsburgh Penguins,2020,49,25,8.0,0.598,238,199,39
546,San Jose Sharks,2020,48,25,9.0,0.585,248,213,35
547,St. Louis Blues,2020,38,33,11.0,0.463,240,234,6
548,Tampa Bay Lightning,2020,46,25,11.0,0.561,247,240,7
549,Toronto Maple Leafs,2020,37,34,11.0,0.451,218,251,-33
550,Vancouver Canucks,2020,54,19,9.0,0.659,262,185,77
551,Washington Capitals,2020,48,23,11.0,0.585,224,197,27
552,Anaheim Ducks,2021,34,36,12.0,0.415,204,231,-27
553,Boston Bruins,2021,49,29,4.0,0.598,269,202,67
554,Buffalo Sabres,2021,39,32,11.0,0.476,218,230,-12
555,Calgary Flames,2021,37,29,16.0,0.451,202,226,-24
556,Carolina Hurricanes,2021,33,33,16.0,0.402,213,243,-30
557,Columbus Blue Jackets,2021,29,46,7.0,0.354,202,262,-60
558,Chicago Blackhawks,2021,45,26,11.0,0.549,248,238,10
559,Colorado Avalanche,2021,41,35,6.0,0.5,208,220,-12
560,Dallas Stars,2021,42,35,5.0,0.512,211,222,-11
561,Detroit Red Wings,2021,48,28,6.0,0.585,248,203,45
562,Edmonton Oilers,2021,32,40,10.0,0.39,212,239,-27
563,Florida Panthers,2021,38,26,18.0,0.463,203,227,-24
564,Los Angeles Kings,2021,40,27,15.0,0.488,194,179,15
565,Minnesota Wild,2021,35,36,11.0,0.427,177,226,-49
566,Montreal Canadiens,2021,31,35,16.0,0.378,212,226,-14
567,Nashville Predators,2021,48,26,8.0,0.585,237,210,27
568,New Jersey Devils,2021,48,28,6.0,0.585,228,209,19
569,New York Islanders,2021,34,37,11.0,0.415,203,255,-52
570,New York Rangers,2021,51,24,7.0,0.622,226,187,39
571,Ottawa Senators,2021,41,31,10.0,0.5,249,240,9
572,Philadelphia Flyers,2021,47,26,9.0,0.573,264,232,32
573,Phoenix Coyotes,2021,42,27,13.0,0.512,216,204,12
574,Pittsburgh Penguins,2021,51,25,6.0,0.622,282,221,61
575,San Jose Sharks,2021,43,29,10.0,0.524,228,210,18
576,St. Louis Blues,2021,49,22,11.0,0.598,210,165,45
577,Tampa Bay Lightning,2021,38,36,8.0,0.463,235,281,-46
578,Toronto Maple Leafs,2021,35,37,10.0,0.427,231,264,-33
579,Vancouver Canucks,2021,51,22,9.0,0.622,249,198,51
580,Washington Capitals,2021,42,32,8.0,0.512,222,230,-8
581,Winnipeg Jets,2021,37,35,10.0,0.451,225,246,-21
